Age,Gender,Period,Unemployed,State
16 to 19 years,Men,2005-01-01,91000,State
20 to 24 years,Men,2005-01-01,175000,State
25 to 34 years,Men,2005-01-01,194000,State
35 to 44 years,Men,2005-01-01,201000,State
45 to 54 years,Men,2005-01-01,207000,State
55 to 64 years,Men,2005-01-01,101000,State
65 years and over,Men,2005-01-01,33000,State
16 to 19 years,Women,2005-01-01,38000,State
20 to 24 years,Women,2005-01-01,90000,State
25 to 34 years,Women,2005-01-01,142000,State
35 to 44 years,Women,2005-01-01,180000,State
45 to 54 years,Women,2005-01-01,157000,State
55 to 64 years,Women,2005-01-01,71000,State
65 years and over,Women,2005-01-01,82000,State
16 to 19 years,Men,2005-02-01,90000,State
20 to 24 years,Men,2005-02-01,154000,State
25 to 34 years,Men,2005-02-01,176000,State
35 to 44 years,Men,2005-02-01,184000,State
45 to 54 years,Men,2005-02-01,186000,State
55 to 64 years,Men,2005-02-01,98000,State
65 years and over,Men,2005-02-01,38000,State
16 to 19 years,Women,2005-02-01,54000,State
20 to 24 years,Women,2005-02-01,114000,Pune
25 to 34 years,Women,2005-02-01,119000,Pune
35 to 44 years,Women,2005-02-01,170000,Pune
45 to 54 years,Women,2005-02-01,173000,Pune
55 to 64 years,Women,2005-02-01,94000,Pune
65 years and over,Women,2005-02-01,85000,Pune
16 to 19 years,Men,2005-03-01,114000,Pune
20 to 24 years,Men,2005-03-01,137000,Pune
25 to 34 years,Men,2005-03-01,195000,Pune
35 to 44 years,Men,2005-03-01,211000,Pune
45 to 54 years,Men,2005-03-01,223000,Pune
55 to 64 years,Men,2005-03-01,115000,Pune
65 years and over,Men,2005-03-01,32000,Pune
16 to 19 years,Women,2005-03-01,53000,Pune
20 to 24 years,Women,2005-03-01,113000,Pune
25 to 34 years,Women,2005-03-01,102000,Pune
35 to 44 years,Women,2005-03-01,141000,Pune
45 to 54 years,Women,2005-03-01,152000,Pune
55 to 64 years,Women,2005-03-01,101000,Pune
65 years and over,Women,2005-03-01,72000,Pune
16 to 19 years,Men,2005-04-01,86000,Pune
20 to 24 years,Men,2005-04-01,125000,Pune
25 to 34 years,Men,2005-04-01,191000,Pune
35 to 44 years,Men,2005-04-01,206000,Pune
45 to 54 years,Men,2005-04-01,181000,Pune
55 to 64 years,Men,2005-04-01,93000,Pune
65 years and over,Men,2005-04-01,31000,Pune
16 to 19 years,Women,2005-04-01,53000,Pune
20 to 24 years,Women,2005-04-01,114000,Pune
25 to 34 years,Women,2005-04-01,151000,Pune
35 to 44 years,Women,2005-04-01,172000,Pune
45 to 54 years,Women,2005-04-01,160000,Pune
55 to 64 years,Women,2005-04-01,90000,Pune
65 years and over,Women,2005-04-01,80000,Pune
16 to 19 years,Men,2005-05-01,87000,Pune
20 to 24 years,Men,2005-05-01,106000,Pune
25 to 34 years,Men,2005-05-01,183000,Pune
35 to 44 years,Men,2005-05-01,173000,Pune
45 to 54 years,Men,2005-05-01,159000,Pune
55 to 64 years,Men,2005-05-01,87000,Pune
65 years and over,Men,2005-05-01,22000,Pune
16 to 19 years,Women,2005-05-01,44000,Pune
20 to 24 years,Women,2005-05-01,99000,Pune
25 to 34 years,Women,2005-05-01,149000,Pune
35 to 44 years,Women,2005-05-01,144000,Pune
45 to 54 years,Women,2005-05-01,178000,Pune
55 to 64 years,Women,2005-05-01,74000,Pune
65 years and over,Women,2005-05-01,71000,Pune
16 to 19 years,Men,2005-06-01,74000,Pune
20 to 24 years,Men,2005-06-01,109000,Pune
25 to 34 years,Men,2005-06-01,162000,Pune
35 to 44 years,Men,2005-06-01,146000,Pune
45 to 54 years,Men,2005-06-01,171000,Pune
55 to 64 years,Men,2005-06-01,64000,Pune
65 years and over,Men,2005-06-01,37000,Pune
16 to 19 years,Women,2005-06-01,47000,Pune
20 to 24 years,Women,2005-06-01,73000,Pune
25 to 34 years,Women,2005-06-01,114000,Pune
35 to 44 years,Women,2005-06-01,114000,Pune
45 to 54 years,Women,2005-06-01,150000,Pune
55 to 64 years,Women,2005-06-01,58000,Pune
65 years and over,Women,2005-06-01,89000,Pune
16 to 19 years,Men,2005-07-01,79000,Pune
20 to 24 years,Men,2005-07-01,110000,Pune
25 to 34 years,Men,2005-07-01,139000,Pune
35 to 44 years,Men,2005-07-01,164000,Pune
45 to 54 years,Men,2005-07-01,181000,Pune
55 to 64 years,Men,2005-07-01,56000,Pune
65 years and over,Men,2005-07-01,36000,Pune
16 to 19 years,Women,2005-07-01,39000,Pune
20 to 24 years,Women,2005-07-01,72000,Pune
25 to 34 years,Women,2005-07-01,156000,Pune
35 to 44 years,Women,2005-07-01,115000,Pune
45 to 54 years,Women,2005-07-01,123000,Pune
55 to 64 years,Women,2005-07-01,81000,Pune
65 years and over,Women,2005-07-01,86000,Pune
16 to 19 years,Men,2005-08-01,69000,Pune
20 to 24 years,Men,2005-08-01,142000,Pune
25 to 34 years,Men,2005-08-01,141000,Pune
35 to 44 years,Men,2005-08-01,157000,Pune
45 to 54 years,Men,2005-08-01,163000,Pune
55 to 64 years,Men,2005-08-01,82000,Pune
65 years and over,Men,2005-08-01,25000,Pune
16 to 19 years,Women,2005-08-01,47000,Pune
20 to 24 years,Women,2005-08-01,57000,Pune
25 to 34 years,Women,2005-08-01,151000,Pune
35 to 44 years,Women,2005-08-01,137000,Pune
45 to 54 years,Women,2005-08-01,130000,Pune
55 to 64 years,Women,2005-08-01,85000,Pune
65 years and over,Women,2005-08-01,101000,Pune
16 to 19 years,Men,2005-09-01,64000,Pune
20 to 24 years,Men,2005-09-01,127000,Pune
25 to 34 years,Men,2005-09-01,161000,Pune
35 to 44 years,Men,2005-09-01,152000,Pune
45 to 54 years,Men,2005-09-01,146000,Pune
55 to 64 years,Men,2005-09-01,83000,Pune
65 years and over,Men,2005-09-01,36000,Pune
16 to 19 years,Women,2005-09-01,41000,Pune
20 to 24 years,Women,2005-09-01,55000,Pune
25 to 34 years,Women,2005-09-01,163000,Pune
35 to 44 years,Women,2005-09-01,149000,Pune
45 to 54 years,Women,2005-09-01,152000,Pune
55 to 64 years,Women,2005-09-01,80000,Pune
65 years and over,Women,2005-09-01,96000,Pune
16 to 19 years,Men,2005-10-01,51000,Pune
20 to 24 years,Men,2005-10-01,102000,Pune
25 to 34 years,Men,2005-10-01,152000,Pune
35 to 44 years,Men,2005-10-01,137000,Pune
45 to 54 years,Men,2005-10-01,195000,Pune
55 to 64 years,Men,2005-10-01,90000,Pune
65 years and over,Men,2005-10-01,41000,Pune
16 to 19 years,Women,2005-10-01,48000,Pune
20 to 24 years,Women,2005-10-01,56000,Pune
25 to 34 years,Women,2005-10-01,150000,Pune
35 to 44 years,Women,2005-10-01,156000,Pune
45 to 54 years,Women,2005-10-01,120000,Pune
55 to 64 years,Women,2005-10-01,69000,Pune
65 years and over,Women,2005-10-01,94000,Pune
16 to 19 years,Men,2005-11-01,53000,Pune
20 to 24 years,Men,2005-11-01,97000,Pune
25 to 34 years,Men,2005-11-01,137000,Pune
35 to 44 years,Men,2005-11-01,151000,Pune
45 to 54 years,Men,2005-11-01,197000,Pune
55 to 64 years,Men,2005-11-01,82000,Pune
65 years and over,Men,2005-11-01,37000,Pune
16 to 19 years,Women,2005-11-01,28000,Pune
20 to 24 years,Women,2005-11-01,65000,Pune
25 to 34 years,Women,2005-11-01,140000,Pune
35 to 44 years,Women,2005-11-01,129000,Pune
45 to 54 years,Women,2005-11-01,131000,Pune
55 to 64 years,Women,2005-11-01,82000,Pune
65 years and over,Women,2005-11-01,62000,Pune
16 to 19 years,Men,2005-12-01,62000,Pune
20 to 24 years,Men,2005-12-01,93000,Pune
25 to 34 years,Men,2005-12-01,164000,Pune
35 to 44 years,Men,2005-12-01,150000,Pune
45 to 54 years,Men,2005-12-01,190000,Pune
55 to 64 years,Men,2005-12-01,104000,Pune
65 years and over,Men,2005-12-01,20000,Pune
16 to 19 years,Women,2005-12-01,30000,Pune
20 to 24 years,Women,2005-12-01,56000,Pune
25 to 34 years,Women,2005-12-01,131000,Pune
35 to 44 years,Women,2005-12-01,112000,Pune
45 to 54 years,Women,2005-12-01,116000,Pune
55 to 64 years,Women,2005-12-01,73000,Pune
65 years and over,Women,2005-12-01,64000,Pune
16 to 19 years,Men,2006-01-01,34000,Pune
20 to 24 years,Men,2006-01-01,126000,Pune
25 to 34 years,Men,2006-01-01,141000,Pune
35 to 44 years,Men,2006-01-01,105000,Pune
45 to 54 years,Men,2006-01-01,162000,Pune
55 to 64 years,Men,2006-01-01,102000,Pune
65 years and over,Men,2006-01-01,35000,Pune
16 to 19 years,Women,2006-01-01,39000,Pune
20 to 24 years,Women,2006-01-01,27000,Pune
25 to 34 years,Women,2006-01-01,92000,Pune
35 to 44 years,Women,2006-01-01,134000,Pune
45 to 54 years,Women,2006-01-01,110000,Pune
55 to 64 years,Women,2006-01-01,85000,Pune
65 years and over,Women,2006-01-01,61000,Pune
16 to 19 years,Men,2006-02-01,68000,Pune
20 to 24 years,Men,2006-02-01,135000,Pune
25 to 34 years,Men,2006-02-01,190000,Pune
35 to 44 years,Men,2006-02-01,123000,Pune
45 to 54 years,Men,2006-02-01,182000,Pune
55 to 64 years,Men,2006-02-01,95000,Pune
65 years and over,Men,2006-02-01,21000,Pune
16 to 19 years,Women,2006-02-01,26000,Pune
20 to 24 years,Women,2006-02-01,75000,Pune
25 to 34 years,Women,2006-02-01,132000,Pune
35 to 44 years,Women,2006-02-01,150000,Pune
45 to 54 years,Women,2006-02-01,124000,Pune
55 to 64 years,Women,2006-02-01,69000,Pune
65 years and over,Women,2006-02-01,61000,Pune
16 to 19 years,Men,2006-03-01,84000,Pune
20 to 24 years,Men,2006-03-01,140000,Pune
25 to 34 years,Men,2006-03-01,134000,Pune
35 to 44 years,Men,2006-03-01,171000,Pune
45 to 54 years,Men,2006-03-01,163000,Pune
55 to 64 years,Men,2006-03-01,84000,Pune
65 years and over,Men,2006-03-01,20000,Pune
16 to 19 years,Women,2006-03-01,40000,Pune
20 to 24 years,Women,2006-03-01,52000,Pune
25 to 34 years,Women,2006-03-01,137000,Pune
35 to 44 years,Women,2006-03-01,138000,Pune
45 to 54 years,Women,2006-03-01,119000,Pune
55 to 64 years,Women,2006-03-01,60000,Pune
65 years and over,Women,2006-03-01,54000,Pune
16 to 19 years,Men,2006-04-01,97000,Pune
20 to 24 years,Men,2006-04-01,174000,Pune
25 to 34 years,Men,2006-04-01,155000,Pune
35 to 44 years,Men,2006-04-01,140000,Pune
45 to 54 years,Men,2006-04-01,141000,Pune
55 to 64 years,Men,2006-04-01,113000,Pune
65 years and over,Men,2006-04-01,23000,Pune
16 to 19 years,Women,2006-04-01,28000,Pune
20 to 24 years,Women,2006-04-01,71000,Pune
25 to 34 years,Women,2006-04-01,135000,Pune
35 to 44 years,Women,2006-04-01,157000,Pune
45 to 54 years,Women,2006-04-01,98000,Pune
55 to 64 years,Women,2006-04-01,59000,Pune
65 years and over,Women,2006-04-01,54000,Pune
16 to 19 years,Men,2006-05-01,66000,Pune
20 to 24 years,Men,2006-05-01,125000,Pune
25 to 34 years,Men,2006-05-01,137000,Pune
35 to 44 years,Men,2006-05-01,158000,Pune
45 to 54 years,Men,2006-05-01,178000,Pune
55 to 64 years,Men,2006-05-01,81000,Pune
65 years and over,Men,2006-05-01,12000,Pune
16 to 19 years,Women,2006-05-01,45000,Pune
20 to 24 years,Women,2006-05-01,54000,Pune
25 to 34 years,Women,2006-05-01,146000,Pune
35 to 44 years,Women,2006-05-01,148000,Pune
45 to 54 years,Women,2006-05-01,100000,Pune
55 to 64 years,Women,2006-05-01,56000,Pune
65 years and over,Women,2006-05-01,43000,Pune
16 to 19 years,Men,2006-06-01,63000,Pune
20 to 24 years,Men,2006-06-01,106000,Pune
25 to 34 years,Men,2006-06-01,134000,Pune
35 to 44 years,Men,2006-06-01,127000,Pune
45 to 54 years,Men,2006-06-01,124000,Pune
55 to 64 years,Men,2006-06-01,85000,Pune
65 years and over,Men,2006-06-01,13000,Pune
16 to 19 years,Women,2006-06-01,30000,Pune
20 to 24 years,Women,2006-06-01,39000,Pune
25 to 34 years,Women,2006-06-01,123000,Pune
35 to 44 years,Women,2006-06-01,110000,Pune
45 to 54 years,Women,2006-06-01,92000,Pune
55 to 64 years,Women,2006-06-01,63000,Pune
65 years and over,Women,2006-06-01,68000,Pune
16 to 19 years,Men,2006-07-01,74000,Pune
20 to 24 years,Men,2006-07-01,93000,Pune
25 to 34 years,Men,2006-07-01,133000,Pune
35 to 44 years,Men,2006-07-01,163000,Pune
45 to 54 years,Men,2006-07-01,138000,Pune
55 to 64 years,Men,2006-07-01,96000,Pune
65 years and over,Men,2006-07-01,9000,Pune
16 to 19 years,Women,2006-07-01,74000,Maharashtra
20 to 24 years,Women,2006-07-01,81000,Gujrat
25 to 34 years,Women,2006-07-01,115000,Rajsthan
35 to 44 years,Women,2006-07-01,133000,Rajsthan
45 to 54 years,Women,2006-07-01,84000,Rajsthan
55 to 64 years,Women,2006-07-01,83000,Pune
65 years and over,Women,2006-07-01,86000,Pune
16 to 19 years,Men,2006-08-01,77000,UP
20 to 24 years,Men,2006-08-01,130000,Pune
25 to 34 years,Men,2006-08-01,114000,UP
35 to 44 years,Men,2006-08-01,159000,Punjab
45 to 54 years,Men,2006-08-01,154000,Pune
55 to 64 years,Men,2006-08-01,87000,Pune
65 years and over,Men,2006-08-01,21000,Hariyana
16 to 19 years,Women,2006-08-01,46000,Maharashtra
20 to 24 years,Women,2006-08-01,63000,Maharashtra
25 to 34 years,Women,2006-08-01,102000,Pune
35 to 44 years,Women,2006-08-01,122000,Delhi
45 to 54 years,Women,2006-08-01,134000,Chennai
55 to 64 years,Women,2006-08-01,80000,Chennai
65 years and over,Women,2006-08-01,110000,Chennai
16 to 19 years,Men,2006-09-01,53000,Chennai
20 to 24 years,Men,2006-09-01,101000,Pune
25 to 34 years,Men,2006-09-01,113000,Pune
35 to 44 years,Men,2006-09-01,153000,Pune
45 to 54 years,Men,2006-09-01,120000,Pune
55 to 64 years,Men,2006-09-01,97000,Pune
65 years and over,Men,2006-09-01,10000,Pune
16 to 19 years,Women,2006-09-01,27000,Pune
20 to 24 years,Women,2006-09-01,88000,MP
25 to 34 years,Women,2006-09-01,120000,MP
35 to 44 years,Women,2006-09-01,122000,MP
45 to 54 years,Women,2006-09-01,125000,MP
55 to 64 years,Women,2006-09-01,86000,MP
65 years and over,Women,2006-09-01,111000,MP
16 to 19 years,Men,2006-10-01,50000,MP
20 to 24 years,Men,2006-10-01,92000,MP
25 to 34 years,Men,2006-10-01,118000,MP
35 to 44 years,Men,2006-10-01,100000,Pune
45 to 54 years,Men,2006-10-01,81000,Pune
55 to 64 years,Men,2006-10-01,91000,Pune
65 years and over,Men,2006-10-01,29000,Pune
16 to 19 years,Women,2006-10-01,21000,Pune
20 to 24 years,Women,2006-10-01,68000,Pune
25 to 34 years,Women,2006-10-01,85000,Mumbai
35 to 44 years,Women,2006-10-01,94000,Pune
45 to 54 years,Women,2006-10-01,118000,Pune
55 to 64 years,Women,2006-10-01,74000,Pune
65 years and over,Women,2006-10-01,83000,Pune
16 to 19 years,Men,2006-11-01,61000,Delhi
20 to 24 years,Men,2006-11-01,80000,Pune
25 to 34 years,Men,2006-11-01,129000,Pune
35 to 44 years,Men,2006-11-01,107000,Pune
45 to 54 years,Men,2006-11-01,102000,Pune
55 to 64 years,Men,2006-11-01,89000,Mumbai
65 years and over,Men,2006-11-01,28000,Pune
16 to 19 years,Women,2006-11-01,37000,Pune
20 to 24 years,Women,2006-11-01,82000,Pune
25 to 34 years,Women,2006-11-01,77000,Pune
35 to 44 years,Women,2006-11-01,108000,Pune
45 to 54 years,Women,2006-11-01,121000,Pune
55 to 64 years,Women,2006-11-01,74000,Pune
65 years and over,Women,2006-11-01,92000,Pune
16 to 19 years,Men,2006-12-01,66000,Pune
20 to 24 years,Men,2006-12-01,97000,Pune
25 to 34 years,Men,2006-12-01,102000,Pune
35 to 44 years,Men,2006-12-01,82000,Pune
45 to 54 years,Men,2006-12-01,130000,Pune
55 to 64 years,Men,2006-12-01,95000,Pune
65 years and over,Men,2006-12-01,18000,Pune
16 to 19 years,Women,2006-12-01,30000,Pune
20 to 24 years,Women,2006-12-01,49000,Pune
25 to 34 years,Women,2006-12-01,95000,Pune
35 to 44 years,Women,2006-12-01,96000,Pune
45 to 54 years,Women,2006-12-01,101000,Pune
55 to 64 years,Women,2006-12-01,81000,Pune
65 years and over,Women,2006-12-01,32000,Pune
16 to 19 years,Men,2007-01-01,57000,Pune
20 to 24 years,Men,2007-01-01,87000,Pune
25 to 34 years,Men,2007-01-01,138000,Pune
35 to 44 years,Men,2007-01-01,120000,Pune
45 to 54 years,Men,2007-01-01,108000,Pune
55 to 64 years,Men,2007-01-01,107000,Pune
65 years and over,Men,2007-01-01,16000,Pune
16 to 19 years,Women,2007-01-01,33000,Pune
20 to 24 years,Women,2007-01-01,43000,Pune
25 to 34 years,Women,2007-01-01,126000,Pune
35 to 44 years,Women,2007-01-01,114000,Pune
45 to 54 years,Women,2007-01-01,137000,Pune
55 to 64 years,Women,2007-01-01,72000,Pune
65 years and over,Women,2007-01-01,81000,Pune
16 to 19 years,Men,2007-02-01,100000,Pune
20 to 24 years,Men,2007-02-01,123000,Pune
25 to 34 years,Men,2007-02-01,153000,Pune
35 to 44 years,Men,2007-02-01,123000,Pune
45 to 54 years,Men,2007-02-01,148000,Pune
55 to 64 years,Men,2007-02-01,83000,Pune
65 years and over,Men,2007-02-01,29000,Pune
16 to 19 years,Women,2007-02-01,37000,Pune
20 to 24 years,Women,2007-02-01,45000,Pune
25 to 34 years,Women,2007-02-01,127000,Pune
35 to 44 years,Women,2007-02-01,124000,Pune
45 to 54 years,Women,2007-02-01,125000,Pune
55 to 64 years,Women,2007-02-01,50000,Pune
65 years and over,Women,2007-02-01,55000,Pune
16 to 19 years,Men,2007-03-01,83000,Pune
20 to 24 years,Men,2007-03-01,110000,Pune
25 to 34 years,Men,2007-03-01,168000,Pune
35 to 44 years,Men,2007-03-01,137000,Pune
45 to 54 years,Men,2007-03-01,189000,Pune
55 to 64 years,Men,2007-03-01,95000,Pune
65 years and over,Men,2007-03-01,28000,Pune
16 to 19 years,Women,2007-03-01,24000,Pune
20 to 24 years,Women,2007-03-01,35000,Pune
25 to 34 years,Women,2007-03-01,135000,Pune
35 to 44 years,Women,2007-03-01,102000,Pune
45 to 54 years,Women,2007-03-01,113000,Pune
55 to 64 years,Women,2007-03-01,56000,Pune
65 years and over,Women,2007-03-01,68000,Pune
16 to 19 years,Men,2007-04-01,90000,Pune
20 to 24 years,Men,2007-04-01,99000,Pune
25 to 34 years,Men,2007-04-01,191000,Pune
35 to 44 years,Men,2007-04-01,101000,Pune
45 to 54 years,Men,2007-04-01,161000,Pune
55 to 64 years,Men,2007-04-01,86000,Pune
65 years and over,Men,2007-04-01,20000,Aagra
16 to 19 years,Women,2007-04-01,45000,Aagra
20 to 24 years,Women,2007-04-01,53000,Aagra
25 to 34 years,Women,2007-04-01,138000,Aagra
35 to 44 years,Women,2007-04-01,94000,Aagra
45 to 54 years,Women,2007-04-01,122000,Aagra
55 to 64 years,Women,2007-04-01,53000,Pune
65 years and over,Women,2007-04-01,64000,Pune
16 to 19 years,Men,2007-05-01,73000,Pune
20 to 24 years,Men,2007-05-01,88000,Pune
25 to 34 years,Men,2007-05-01,172000,Pune
35 to 44 years,Men,2007-05-01,87000,Pune
45 to 54 years,Men,2007-05-01,133000,Chennai
55 to 64 years,Men,2007-05-01,82000,Chennai
65 years and over,Men,2007-05-01,19000,Chennai
16 to 19 years,Women,2007-05-01,37000,Chennai
20 to 24 years,Women,2007-05-01,44000,Chennai
25 to 34 years,Women,2007-05-01,119000,Chennai
35 to 44 years,Women,2007-05-01,97000,Chennai
45 to 54 years,Women,2007-05-01,107000,Chennai
55 to 64 years,Women,2007-05-01,60000,Chennai
65 years and over,Women,2007-05-01,71000,Chennai
16 to 19 years,Men,2007-06-01,54000,Chennai
20 to 24 years,Men,2007-06-01,113000,Chennai
25 to 34 years,Men,2007-06-01,140000,Chennai
35 to 44 years,Men,2007-06-01,106000,Chennai
45 to 54 years,Men,2007-06-01,141000,Chennai
55 to 64 years,Men,2007-06-01,81000,Chennai
65 years and over,Men,2007-06-01,17000,Chennai
16 to 19 years,Women,2007-06-01,54000,Punjab
20 to 24 years,Women,2007-06-01,44000,Chennai
25 to 34 years,Women,2007-06-01,94000,Chennai
35 to 44 years,Women,2007-06-01,98000,Chennai
45 to 54 years,Women,2007-06-01,100000,Chennai
55 to 64 years,Women,2007-06-01,52000,Chennai
65 years and over,Women,2007-06-01,109000,Chennai
16 to 19 years,Men,2007-07-01,44000,Punjab
20 to 24 years,Men,2007-07-01,129000,Chennai
25 to 34 years,Men,2007-07-01,112000,Chennai
35 to 44 years,Men,2007-07-01,136000,Chennai
45 to 54 years,Men,2007-07-01,148000,Chennai
55 to 64 years,Men,2007-07-01,93000,Lahor
65 years and over,Men,2007-07-01,36000,Chennai
16 to 19 years,Women,2007-07-01,41000,Chennai
20 to 24 years,Women,2007-07-01,75000,Chennai
25 to 34 years,Women,2007-07-01,128000,Lahor
35 to 44 years,Women,2007-07-01,150000,Chennai
45 to 54 years,Women,2007-07-01,118000,Chennai
55 to 64 years,Women,2007-07-01,63000,UP
65 years and over,Women,2007-07-01,111000,Chennai
16 to 19 years,Men,2007-08-01,43000,Chennai
20 to 24 years,Men,2007-08-01,150000,MP
25 to 34 years,Men,2007-08-01,119000,Chennai
35 to 44 years,Men,2007-08-01,121000,Chennai
45 to 54 years,Men,2007-08-01,147000,Rajsthan
55 to 64 years,Men,2007-08-01,110000,Chennai
65 years and over,Men,2007-08-01,17000,Chennai
16 to 19 years,Women,2007-08-01,47000,Chennai
20 to 24 years,Women,2007-08-01,66000,Chennai
25 to 34 years,Women,2007-08-01,125000,Chennai
